assetCode,name,category,location,status,installDate,model,manufacturer,serialNumber,description
BC02120086,11线UV 固化机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02120080,11线WG-8023C同轴剥线机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02001196,11线UV glue semi-automation machine-UV自动点胶设备,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02001132,11线吸烟机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02001195,11线FR Strech-cut machine 半自动拉伸设备,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02001020,11线FR soldering machine 半自动焊接设备,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02000572,11线Crimping pressor定制立式气动压接机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02001189,11线辅助理线治具,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC110001,11线拉拔刀（拉拔岗位）,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC110002,11线线缆烘烤机（准备）,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC121001,12-1线剥线机,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC121002,12-1线镭射，弯折,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC121003,12-1线沾溶剂，挪移,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC121004,12-1线镭射，挪移,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC121005,12-1线分PIN，整形1,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC121006,12-1线分PIN，整形2,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC121007,12-1线自动焊接机1,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC121008,12-1线自动焊接机2,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02000596,12-1线铆钉机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02001211,12-1线注塑机,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC121009,12-1线UV light curing machine-UV光固化机,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC121010,12-1线吸烟仪,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC121011,12-1线工装夹具,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC121012,12-1线PCB板工装,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC121013,12-1线摆线线夹,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02140044,12线WG-8023C同轴剥线机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02020006,12线国产手工注塑机,MECHANICAL,HPC-Production,ACTIVE,,,,,
HPC120001,12线注塑机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC05000985,12线屏蔽打散机（准备）,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02050054,12线外壳铆压机（外壳岗位）,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02050040,12线安全气动压接机,MECHANICAL,HPC-Production,ACTIVE,,,,,
BC02001131,12线吸烟机,MECHANICAL,HPC-Production,ACTIVE,,,,,
